 
ZENNER DO BRASIL INSTRUMENTOS DE MEDICAO LTDA    FILIAL: ZRB;                                                                    13/04/26 17:33 PAGINA:   1/1
RELATORIO VINCULO DE LACRE COM O LOTE;LACRES: 0 A 999999999;
________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________;
COD. LACRE;LACRE;DATA VINCULO;SEQ. LOTE;TIPO;LOTE PRODUTO;COD. INMETRO;LOTE INMETRO;
434961;ECH2761997;06/08/2024;484488;G;I23Z0000900D;;;
434962;ECH2762000;06/08/2024;484489;G;I23Z0000901D;;;
434963;ECH2762011;06/08/2024;484490;G;I23Z0000902D;;;
434964;ECH2762023;06/08/2024;484491;G;I23Z0000903D;;;
434965;ECH2762035;06/08/2024;484492;G;I23Z0000904D;;;
434966;ECH2762047;06/08/2024;484493;G;I23Z0000905D;;;
434967;ECH2762059;06/08/2024;484494;G;I23Z0000906D;;;
434968;ECH2762060;06/08/2024;484495;G;I23Z0000907D;;;
434969;ECH2762072;06/08/2024;484496;G;I23Z0000908D;;;
434970;ECH2762084;06/08/2024;484497;G;I23Z0000909D;;;
434971;ECH2762096;06/08/2024;484502;G;I23Z0000914D;;;
434972;ECH2762102;06/08/2024;484504;G;I23Z0000916D;;;
434973;ECH2762114;06/08/2024;484498;G;I23Z0000910D;;;
434974;ECH2762126;06/08/2024;484499;G;I23Z0000911D;;;
434975;ECH2762138;06/08/2024;484500;G;I23Z0000912D;;;
434976;ECH2762140;06/08/2024;484503;G;I23Z0000915D;;;
434977;ECH2762151;06/08/2024;484508;G;I23Z0000920D;;;
434978;ECH2762163;06/08/2024;484507;G;I23Z0000919D;;;
434979;ECH2762175;06/08/2024;484501;G;I23Z0000913D;;;
434980;ECH2762187;06/08/2024;484505;G;I23Z0000917D;;;
434981;ECH2762199;06/08/2024;484506;G;I23Z0000918D;;;
434982;ECH2762205;06/08/2024;484510;G;I23Z0000922D;;;
434983;ECH2762217;06/08/2024;484517;G;I23Z0000929D;;;
434984;ECH2762229;06/08/2024;484518;G;I23Z0000930D;;;
434985;ECH2762230;06/08/2024;484519;G;I23Z0000931D;;;
434986;ECH2762242;06/08/2024;484514;G;I23Z0000926D;;;
434987;ECH2762254;06/08/2024;484513;G;I23Z0000925D;;;
434988;ECH2762266;06/08/2024;484512;G;I23Z0000924D;;;
434989;ECH2762278;06/08/2024;484511;G;I23Z0000923D;;;
434990;ECH2762280;06/08/2024;484509;G;I23Z0000921D;;;
434991;ECH2762291;06/08/2024;484515;G;I23Z0000927D;;;
434992;ECH2762308;06/08/2024;484516;G;I23Z0000928D;;;
434993;ECH2762310;06/08/2024;484520;G;I23Z0000932D;;;
434994;ECH2762321;06/08/2024;484521;G;I23Z0000933D;;;
434995;ECH2762333;06/08/2024;484523;G;I23Z0000935D;;;
434996;ECH2762345;06/08/2024;484522;G;I23Z0000934D;;;
434997;ECH2762357;06/08/2024;484525;G;I23Z0000937D;;;
434998;ECH2762369;06/08/2024;484526;G;I23Z0000938D;;;
434999;ECH2762370;06/08/2024;484527;G;I23Z0000939D;;;
435000;ECH2762382;06/08/2024;484524;G;I23Z0000936D;;;
435001;ECH2762394;06/08/2024;484528;G;I23Z0000940D;;;
435002;ECH2762400;06/08/2024;484529;G;I23Z0000942D;;;
435003;ECH2762412;07/08/2024;484534;G;I23Z0000954D;;;
435004;ECH2762424;07/08/2024;484535;G;I23Z0000957D;;;
435005;ECH2762436;07/08/2024;484536;G;I23Z0000958D;;;
435006;ECH2762448;07/08/2024;484530;G;I23Z0000943D;;;
435007;ECH2762450;07/08/2024;484532;G;I23Z0000948D;;;
435008;ECH2762461;07/08/2024;484533;G;I23Z0000953D;;;
435009;ECH2762473;07/08/2024;484905;G;I23Z0000944D;;;
435010;ECH2762485;07/08/2024;484906;G;I23Z0000945D;;;
435011;ECH2762497;07/08/2024;484907;G;I23Z0000946D;;;
435012;ECH2762503;07/08/2024;484531;G;I23Z0000947D;;;
435013;ECH2762515;07/08/2024;484909;G;I23Z0000950D;;;
435014;ECH2762527;07/08/2024;484908;G;I23Z0000949D;;;
435015;ECH2762539;07/08/2024;484910;G;I23Z0000951D;;;
435016;ECH2762540;07/08/2024;484911;G;I23Z0000952D;;;
435017;ECH2762552;07/08/2024;484912;G;I23Z0000955D;;;
435018;ECH2762564;07/08/2024;484913;G;I23Z0000956D;;;
435019;ECH2762576;07/08/2024;484537;G;I23Z0000959D;;;
435020;ECH2762588;07/08/2024;484538;G;I23Z0000960D;;;
435021;ECH2762590;07/08/2024;484539;G;I23Z0000964D;;;
435022;ECH2762606;07/08/2024;484540;G;I23Z0000965D;;;
435023;ECH2762618;07/08/2024;484541;G;I23Z0000966D;;;
435024;ECH2762620;07/08/2024;484914;G;I23Z0000961D;;;
435025;ECH2762631;07/08/2024;484915;G;I23Z0000962D;;;
435026;ECH2762643;07/08/2024;484916;G;I23Z0000963D;;;
435027;ECH2762655;07/08/2024;484542;G;I23Z0000967D;;;
435028;ECH2762667;07/08/2024;484917;G;I23Z0000968D;;;
435029;ECH2762679;07/08/2024;484543;G;I23Z0000969D;;;
435030;ECH2762680;07/08/2024;484918;G;I23Z0000970D;;;
435031;ECH2762692;07/08/2024;484544;G;I23Z0000971D;;;
435032;ECH2762709;07/08/2024;484919;G;I23Z0000973D;;;
435033;ECH2762710;07/08/2024;484546;G;I23Z0000974D;;;
435034;ECH2762722;07/08/2024;484547;G;I23Z0000975D;;;
435035;ECH2762734;07/08/2024;484545;G;I23Z0000972D;;;
435036;ECH2762746;07/08/2024;484548;G;I23Z0000977D;;;
435037;ECH2762758;07/08/2024;484549;G;I23Z0000978D;;;
435038;ECH2762760;07/08/2024;484550;G;I23Z0000979D;;;
435039;ECH2762771;07/08/2024;484921;G;I23Z0000980D;;;
435040;ECH2762783;07/08/2024;484920;G;I23Z0000976D;;;
435041;ECH2762795;07/08/2024;484551;G;I23Z0000981D;;;
435042;ECH2762801;07/08/2024;484922;G;I23Z0000982D;;;
435043;ECH2762813;07/08/2024;484552;G;I23Z0000983D;;;
435044;ECH2762825;07/08/2024;484553;G;I23Z0000984D;;;
435045;ECH2762837;07/08/2024;484554;G;I23Z0000985D;;;
435046;ECH2762849;07/08/2024;484555;G;I23Z0000986D;;;
435047;ECH2762850;07/08/2024;484556;G;I23Z0000987D;;;
435048;ECH2762862;07/08/2024;484557;G;I23Z0000988D;;;
435049;ECH2762874;07/08/2024;484923;G;I23Z0000989D;;;
435050;ECH2762886;07/08/2024;484559;G;I23Z0000991D;;;
435051;ECH2762898;07/08/2024;484924;G;I23Z0000992D;;;
435052;ECH2762904;07/08/2024;484925;G;I23Z0000993D;;;
435053;ECH2762916;07/08/2024;484560;G;I23Z0000994D;;;
435054;ECH2762928;07/08/2024;484558;G;I23Z0000990D;;;
435055;ECH2762930;07/08/2024;484927;G;I23Z0000997D;;;
435056;ECH2762941;07/08/2024;484926;G;I23Z0000996D;;;
435057;ECH2762953;07/08/2024;484928;G;I23Z0001004D;;;
435058;ECH2762965;07/08/2024;484931;G;I23Z0001017D;;;
435059;ECH2762977;07/08/2024;484561;G;I23Z0000995D;;;
435060;ECH2762989;07/08/2024;484562;G;I23Z0000998D;;;
435061;ECH2762990;07/08/2024;484563;G;I23Z0000999D;;;
435062;ECH2763003;07/08/2024;484930;G;I23Z0001012D;;;
435063;ECH2763015;07/08/2024;484929;G;I23Z0001007D;;;
435064;ECH2763027;07/08/2024;484573;G;I23Z0001011D;;;
435065;ECH2763039;07/08/2024;484571;G;I23Z0001009D;;;
435066;ECH2763040;07/08/2024;484572;G;I23Z0001010D;;;
435067;ECH2763052;07/08/2024;484570;G;I23Z0001008D;;;
435068;ECH2763064;07/08/2024;484576;G;I23Z0001016D;;;
435069;ECH2763076;07/08/2024;484575;G;I23Z0001015D;;;
435070;ECH2763088;07/08/2024;484565;G;I23Z0001001D;;;
435071;ECH2763090;07/08/2024;484567;G;I23Z0001003D;;;
435072;ECH2763106;07/08/2024;484568;G;I23Z0001005D;;;
435073;ECH2763118;07/08/2024;484566;G;I23Z0001002D;;;
435074;ECH2763120;07/08/2024;484577;G;I23Z0001029D;;;
435075;ECH2763131;07/08/2024;484578;G;I23Z0001031D;;;
435076;ECH2763143;07/08/2024;484580;G;I23Z0001034D;;;
435077;ECH2763155;07/08/2024;484564;G;I23Z0001000D;;;
